"FilePath","FileName","Module","TotalFunctions","StubCount","Stubs","DivergenceOnStubs","HasDivergenceIssue"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnEffects.cpp","UnEffects.cpp","Engine","7","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnEmitter.cpp","UnEmitter.cpp","Engine","45","17","AEmitter::Initialize; AEmitter::Render; AEmitter::RenderEditorInfo; UBeamEmitter::Initialize; UBeamEmitter::Scale; UBeamEmitter::SpawnParticle; UBeamEmitter::UpdateActorHitList; UMeshEmitter::Initialize; UParticleEmitter::HandleActorForce; UParticleEmitter::Initialize; UParticleEmitter::Scale; UParticleEmitter::SpawnIndividualParticles; UParticleEmitter::SpawnParticle; USparkEmitter::Initialize; USparkEmitter::SpawnParticle; USpriteEmitter::FillVertexBuffer; USpriteEmitter::Initialize","USpriteEmitter::FillVertexBuffer","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnFluidSurface.cpp","UnFluidSurface.cpp","Engine","33","10","AFluidSurfaceInfo::FillVertexBuffer; AFluidSurfaceInfo::GetPrimitive; AFluidSurfaceInfo::Init; AFluidSurfaceInfo::Pling; AFluidSurfaceInfo::PlingVertex; AFluidSurfaceInfo::PostEditMove; AFluidSurfaceInfo::RebuildClampedBitmap; AFluidSurfaceInfo::Render; AFluidSurfaceInfo::Spawned; AFluidSurfaceInfo::UpdateSimulation","AFluidSurfaceInfo::FillVertexBuffer; AFluidSurfaceInfo::RebuildClampedBitmap; AFluidSurfaceInfo::Render","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnFont.cpp","UnFont.cpp","Engine","3","1","if","if","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnFPoly.cpp","UnFPoly.cpp","Engine","25","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnGame.cpp","UnGame.cpp","Engine","37","25","AGameInfo::AbortScoreSubmission; AGameInfo::InitGameInfoGameService; AGameInfo::MasterServerManager; AGameInfo::ProcessR6Availabilty; AHUD::DrawInGameMap; AHUD::DrawRadar; AHUD::DrawSpecificModeInfo; UEngine::CacheArmPatch; UEngine::ExecServerProf; UEngine::LoadRandomMenuBackgroundImage; UEngine::ReplaceTexture; UGameEngine::BuildServerMasterMap; UGameEngine::DisplayGameVideo; UGameEngine::InitializeMissionDescription; UGameEngine::LoadBackgroundImage; UGameEngine::PostRenderFullScreenEffects; UGameEngine::ReplaceTexture; UInteractionMaster::DisplayCopyright; UInteractionMaster::Exec; UInteractionMaster::MasterProcessKeyEvent; UInteractionMaster::MasterProcessKeyType; UInteractionMaster::MasterProcessMessage; UInteractionMaster::MasterProcessPostRender; UInteractionMaster::MasterProcessPreRender; UInteractionMaster::MasterProcessTick","UGameEngine::DisplayGameVideo; UGameEngine::InitializeMissionDescription","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnIn.cpp","UnIn.cpp","Engine","26","13","UInput::DirectAxis; UInput::Exec; UInput::ExecInputCommands; UInput::FindAxisName; UInput::FindButtonName; UInput::GetKey; UInput::Init; UInput::ReadInput; UInput::ResetInput; UInput::SetKey; UInput::StaticConstructor; UInput::StaticInitInput; UInputPlanning::StaticInitInput","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnLevAct.cpp","UnLevAct.cpp","Engine","1","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnLevel.cpp","UnLevel.cpp","Engine","107","26","AGameReplicationInfo::PostNetReceive; ALevelInfo::CallLogThisActor; ALevelInfo::CheckForErrors; ALevelInfo::PostNetReceive; ALevelInfo::PreNetReceive; ALevelInfo::SetVolumes; ALevelInfo::SetVolumes; APlayerReplicationInfo::PostNetReceive; AReplicationInfo::DisplayVideo; AReplicationInfo::Draw3DLine; AReplicationInfo::GetAvailableResolutions; AReplicationInfo::GetAvailableVideoMemory; AReplicationInfo::HandleFullScreenEffects; ULevel::CheckEncroachment; ULevel::CheckSlice; ULevel::Exec; ULevel::MoveActorFirstBlocking; ULevel::MultiLineCheck; ULevel::MultiPointCheck; ULevel::NotifyReceivedText; ULevel::ServerTickClient; ULevel::SpawnPlayActor; ULevel::SpawnViewActor; ULevel::Tick; ULevel::TickNetServer; ULevel::ToFloor","ULevel::NotifyReceivedText","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnMaterial.cpp","UnMaterial.cpp","Engine","50","6","UCombiner::IsTransparent; UCombiner::RequiresSorting; UMaterial::IsTransparent; UMaterial::MaterialUSize; UMaterial::MaterialVSize; UMaterial::RequiresSorting","","NO"
